timestamp,datetime,comment-id,author-id,agrees,disagrees,moderated,comment-body
1590769453,Fri May 29 2020 16:24:13 GMT+0000 (Coordinated Universal Time),7,0,495,155,1,"Rise in violent crime"
1590769435,Fri May 29 2020 16:23:55 GMT+0000 (Coordinated Universal Time),5,0,1052,348,1,"Homelessness is rife"
1590769443,Fri May 29 2020 16:24:03 GMT+0000 (Coordinated Universal Time),6,0,319,36,1,"Knife crime and our safety"
1591142204,Tue Jun 02 2020 23:56:44 GMT+0000 (Coordinated Universal Time),696,356,1,0,-1,".klnjkb"
1591104348,Tue Jun 02 2020 13:25:48 GMT+0000 (Coordinated Universal Time),263,149,1,0,-1,"also true"
1591094493,Tue Jun 02 2020 10:41:33 GMT+0000 (Coordinated Universal Time),130,92,108,54,1,"Racism"
1592055765,Sat Jun 13 2020 13:42:45 GMT+0000 (Coordinated Universal Time),4622,3325,1,0,0,"This seems to be the case unfortunately"
1591104338,Tue Jun 02 2020 13:25:38 GMT+0000 (Coordinated Universal Time),262,149,1,0,-1,"it sure is"
1590769379,Fri May 29 2020 16:22:59 GMT+0000 (Coordinated Universal Time),0,0,1044,168,1,"More funds for the NHS"
1590769384,Fri May 29 2020 16:23:04 GMT+0000 (Coordinated Universal Time),1,0,433,144,1,"Inequality"
1590769389,Fri May 29 2020 16:23:09 GMT+0000 (Coordinated Universal Time),2,0,586,95,1,"Climate change, and significant action to protect the environment."
1590769419,Fri May 29 2020 16:23:39 GMT+0000 (Coordinated Universal Time),3,0,463,51,1,"Trying to decipher the truth from the propaganda in the media"
1590769459,Fri May 29 2020 16:24:19 GMT+0000 (Coordinated Universal Time),8,0,289,33,1,"Education"
1590769470,Fri May 29 2020 16:24:30 GMT+0000 (Coordinated Universal Time),9,0,544,172,1,"Housing associations are an absolute mess, there are people on the streets and people in hostels"
1591023028,Mon Jun 01 2020 14:50:28 GMT+0000 (Coordinated Universal Time),10,4,123,73,1,"University fees"
1591028311,Mon Jun 01 2020 16:18:31 GMT+0000 (Coordinated Universal Time),12,8,1,0,-1,"Testing"
1591025717,Mon Jun 01 2020 15:35:17 GMT+0000 (Coordinated Universal Time),11,6,1,0,-1,"test"
1591030192,Mon Jun 01 2020 16:49:52 GMT+0000 (Coordinated Universal Time),13,10,1,0,-1,"Hhg"
1591030201,Mon Jun 01 2020 16:50:01 GMT+0000 (Coordinated Universal Time),14,9,1,0,-1,"Good fun for me and thanks for the information"
1591030227,Mon Jun 01 2020 16:50:27 GMT+0000 (Coordinated Universal Time),15,10,1,0,-1,"Good morning my love"
1591030264,Mon Jun 01 2020 16:51:04 GMT+0000 (Coordinated Universal Time),16,11,1,0,-1,"knife crime"
1591030342,Mon Jun 01 2020 16:52:22 GMT+0000 (Coordinated Universal Time),17,12,540,32,1,"People need to adhere to the COVD19 protection policies"
1591030693,Mon Jun 01 2020 16:58:13 GMT+0000 (Coordinated Universal Time),19,17,1,0,-1,"Nothing to add"
1591030638,Mon Jun 01 2020 16:57:18 GMT+0000 (Coordinated Universal Time),18,16,1,0,-1,"It is of vital national interest that Defence is not subjected to additional cuts. The NHS has sufficient money but a top-heavy management"
1591030701,Mon Jun 01 2020 16:58:21 GMT+0000 (Coordinated Universal Time),20,16,759,378,1,"Don't cut Defence!"
1591030892,Mon Jun 01 2020 17:01:32 GMT+0000 (Coordinated Universal Time),21,18,1,0,-1,"None"
1591032236,Mon Jun 01 2020 17:23:56 GMT+0000 (Coordinated Universal Time),22,19,1,0,-1,"I am HAPPY as it is"
1591032832,Mon Jun 01 2020 17:33:52 GMT+0000 (Coordinated Universal Time),24,21,1,0,-1,"diligaf"
1591032440,Mon Jun 01 2020 17:27:20 GMT+0000 (Coordinated Universal Time),23,20,3,1,-1,"more help for the homeless"
1591033329,Mon Jun 01 2020 17:42:09 GMT+0000 (Coordinated Universal Time),30,23,649,306,1,"people have too much access to weapons"
