topic,"Improving Bowling Green / Warren County"
url,http://localhost/9wtchdmmun
voters,2044
voters-in-conv,1585
commenters,403
comments,896
groups,2
conversation-description,"What do you believe should change in Bowling Green/Warren County in order to make it a better place to live, work and spend time?"
