timestamp,datetime,comment-id,author-id,agrees,disagrees,moderated,comment-body
1517754252,Sun Feb 04 2018 14:24:12 GMT+0000 (Coordinated Universal Time),57,44,538,132,1,"We need a real bus system."
1517604187,Fri Feb 02 2018 20:43:07 GMT+0000 (Coordinated Universal Time),21,0,709,79,1,"The arts are an important component of K-12 education."
1517603680,Fri Feb 02 2018 20:34:40 GMT+0000 (Coordinated Universal Time),0,0,172,368,1,"Local schools should help make up the pension fund crisis by learning to live with budget cuts."
1517603722,Fri Feb 02 2018 20:35:22 GMT+0000 (Coordinated Universal Time),2,0,404,130,1,"Officials that use social media accounts in a professional capacity should not be allowed to block constituents except under rare conditions like being threatened."
1517603732,Fri Feb 02 2018 20:35:32 GMT+0000 (Coordinated Universal Time),3,0,573,188,1,"I should be able to vote in city elections if I pay city taxes, even though I may live in the county."
1517603739,Fri Feb 02 2018 20:35:39 GMT+0000 (Coordinated Universal Time),4,0,171,111,1,"Most local officials run for office to serve the public good."
1517603763,Fri Feb 02 2018 20:36:03 GMT+0000 (Coordinated Universal Time),5,0,497,120,1,"Local law enforcement would benefit from additional training in community relations."
1517603767,Fri Feb 02 2018 20:36:07 GMT+0000 (Coordinated Universal Time),6,0,201,145,1,"Most journalists strive to be factual and unbiased, whether or not they succeed in all their writing,"
1517603777,Fri Feb 02 2018 20:36:17 GMT+0000 (Coordinated Universal Time),7,0,265,80,1,"Opinion pieces without a specific author make it more confusing to determine whether a media source is biased or not."
1517603814,Fri Feb 02 2018 20:36:54 GMT+0000 (Coordinated Universal Time),9,0,172,409,1,"Harsher sentences for drug users would help combat the opioid epidemic."
1517603692,Fri Feb 02 2018 20:34:52 GMT+0000 (Coordinated Universal Time),1,0,314,136,1,"University management bears more responsibility than federal and state education funding cuts for tuition rising so much over the years."
1517603825,Fri Feb 02 2018 20:37:05 GMT+0000 (Coordinated Universal Time),10,0,668,173,1,"In order to better combat the opioid epidemic, it is time to view drug addiction as a health problem rather than a criminal justice problem."
1517604189,Fri Feb 02 2018 20:43:09 GMT+0000 (Coordinated Universal Time),22,0,217,117,1,"Crime is worse in Bowling Green / Warren County than it was a decade ago."
1517604199,Fri Feb 02 2018 20:43:19 GMT+0000 (Coordinated Universal Time),23,0,588,226,1,"No child should go hungry in Bowling Green / Warren County, and it is up to our officials to make sure it doesn’t happen."
1517603844,Fri Feb 02 2018 20:37:24 GMT+0000 (Coordinated Universal Time),11,0,516,203,1,"Law enforcement should send drug possession arrestees for rehabilitation services rather than imprisonment."
1517603851,Fri Feb 02 2018 20:37:31 GMT+0000 (Coordinated Universal Time),12,0,635,254,1,"Medical marijuana should be legal."
1517603953,Fri Feb 02 2018 20:39:13 GMT+0000 (Coordinated Universal Time),13,0,521,434,1,"Recreational marijuana should be legal."
1517604138,Fri Feb 02 2018 20:42:18 GMT+0000 (Coordinated Universal Time),20,0,567,455,1,"It is embarrassing that our city is the largest in the state not to have a fairness ordinance."
1517603965,Fri Feb 02 2018 20:39:25 GMT+0000 (Coordinated Universal Time),14,0,154,102,1,"I regularly discuss politics with people I disagree with."
1517604046,Fri Feb 02 2018 20:40:46 GMT+0000 (Coordinated Universal Time),15,0,505,136,1,"WKU and local community colleges should continue to offer courses that interest those seeking an education, whether or not the courses aid in job placement."
1517604048,Fri Feb 02 2018 20:40:48 GMT+0000 (Coordinated Universal Time),16,0,407,373,1,"The main purpose of higher education is job training."
